cell_id,image_id,crop_path,bf_path,phase_path,fluor_path,mask_id,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area,perimeter,eccentricity,solidity,mean_intensity,phase_mean,label
cell_00010,img_002,F:\method_2\cell_inspector\sample_data\crops\cell_00010.png,F:\method_2\cell_inspector\sample_data\brightfield\img_002.png,F:\method_2\cell_inspector\sample_data\phase\img_002.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_002.png,mask_10,450,198,438,186,462,210,441,75.39822368615503,0.15,0.92,99.64172335600907,93.43083900226758,-1
cell_00011,img_002,F:\method_2\cell_inspector\sample_data\crops\cell_00011.png,F:\method_2\cell_inspector\sample_data\brightfield\img_002.png,F:\method_2\cell_inspector\sample_data\phase\img_002.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_002.png,mask_11,487,251,473,237,501,265,613,87.96459430051421,0.15,0.92,99.8205546492659,94.45350734094616,-1
cell_00012,img_002,F:\method_2\cell_inspector\sample_data\crops\cell_00012.png,F:\method_2\cell_inspector\sample_data\brightfield\img_002.png,F:\method_2\cell_inspector\sample_data\phase\img_002.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_002.png,mask_12,524,304,508,288,540,320,797,100.53096491487338,0.15,0.92,100.00878293601004,95.48682559598494,-1
cell_00013,img_002,F:\method_2\cell_inspector\sample_data\crops\cell_00013.png,F:\method_2\cell_inspector\sample_data\brightfield\img_002.png,F:\method_2\cell_inspector\sample_data\phase\img_002.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_002.png,mask_13,109,357,91,339,127,375,1009,113.09733552923255,0.15,0.92,99.43310208126859,93.41228939544104,-1
cell_00014,img_002,F:\method_2\cell_inspector\sample_data\crops\cell_00014.png,F:\method_2\cell_inspector\sample_data\brightfield\img_002.png,F:\method_2\cell_inspector\sample_data\phase\img_002.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_002.png,mask_14,146,410,126,390,166,430,1257,125.66370614359172,0.15,0.92,100.28480509148767,94.10819411296738,-1
cell_00015,img_003,F:\method_2\cell_inspector\sample_data\crops\cell_00015.png,F:\method_2\cell_inspector\sample_data\brightfield\img_003.png,F:\method_2\cell_inspector\sample_data\phase\img_003.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_003.png,mask_15,183,71,171,59,195,83,441,75.39822368615503,0.15,0.92,99.43310657596372,94.2358276643991,-1
cell_00016,img_003,F:\method_2\cell_inspector\sample_data\crops\cell_00016.png,F:\method_2\cell_inspector\sample_data\brightfield\img_003.png,F:\method_2\cell_inspector\sample_data\phase\img_003.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_003.png,mask_16,220,124,206,110,234,138,613,87.96459430051421,0.15,0.92,98.66557911908646,94.93311582381729,-1
cell_00017,img_003,F:\method_2\cell_inspector\sample_data\crops\cell_00017.png,F:\method_2\cell_inspector\sample_data\brightfield\img_003.png,F:\method_2\cell_inspector\sample_data\phase\img_003.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_003.png,mask_17,257,177,241,161,273,193,797,100.53096491487338,0.15,0.92,98.87578419071518,94.92722710163112,-1
cell_00018,img_003,F:\method_2\cell_inspector\sample_data\crops\cell_00018.png,F:\method_2\cell_inspector\sample_data\brightfield\img_003.png,F:\method_2\cell_inspector\sample_data\phase\img_003.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_003.png,mask_18,294,230,276,212,312,248,1009,113.09733552923255,0.15,0.92,99.81367690782953,94.79583746283448,-1
cell_00019,img_003,F:\method_2\cell_inspector\sample_data\crops\cell_00019.png,F:\method_2\cell_inspector\sample_data\brightfield\img_003.png,F:\method_2\cell_inspector\sample_data\phase\img_003.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_003.png,mask_19,331,283,311,263,351,303,1257,125.66370614359172,0.15,0.92,99.65314240254574,94.49482895783612,-1
cell_00020,img_004,F:\method_2\cell_inspector\sample_data\crops\cell_00020.png,F:\method_2\cell_inspector\sample_data\brightfield\img_004.png,F:\method_2\cell_inspector\sample_data\phase\img_004.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_004.png,mask_20,368,336,356,324,380,348,441,75.39822368615503,0.15,0.92,98.57596371882086,94.53061224489795,-1
cell_00021,img_004,F:\method_2\cell_inspector\sample_data\crops\cell_00021.png,F:\method_2\cell_inspector\sample_data\brightfield\img_004.png,F:\method_2\cell_inspector\sample_data\phase\img_004.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_004.png,mask_21,405,389,391,375,419,403,613,87.96459430051421,0.15,0.92,98.84665579119087,94.61827079934747,-1
cell_00022,img_004,F:\method_2\cell_inspector\sample_data\crops\cell_00022.png,F:\method_2\cell_inspector\sample_data\brightfield\img_004.png,F:\method_2\cell_inspector\sample_data\phase\img_004.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_004.png,mask_22,442,442,426,426,458,458,797,100.53096491487338,0.15,0.92,98.73023839397742,95.24341279799248,-1
cell_00023,img_004,F:\method_2\cell_inspector\sample_data\crops\cell_00023.png,F:\method_2\cell_inspector\sample_data\brightfield\img_004.png,F:\method_2\cell_inspector\sample_data\phase\img_004.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_004.png,mask_23,479,103,461,85,497,121,1009,113.09733552923255,0.15,0.92,98.63131813676908,94.51139742319128,-1
cell_00024,img_004,F:\method_2\cell_inspector\sample_data\crops\cell_00024.png,F:\method_2\cell_inspector\sample_data\brightfield\img_004.png,F:\method_2\cell_inspector\sample_data\phase\img_004.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_004.png,mask_24,516,156,496,136,536,176,1257,125.66370614359172,0.15,0.92,99.57040572792363,94.2521877486078,-1
cell_00025,img_005,F:\method_2\cell_inspector\sample_data\crops\cell_00025.png,F:\method_2\cell_inspector\sample_data\brightfield\img_005.png,F:\method_2\cell_inspector\sample_data\phase\img_005.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_005.png,mask_25,101,209,89,197,113,221,441,75.39822368615503,0.15,0.92,98.70521541950113,94.72562358276645,-1
cell_00026,img_005,F:\method_2\cell_inspector\sample_data\crops\cell_00026.png,F:\method_2\cell_inspector\sample_data\brightfield\img_005.png,F:\method_2\cell_inspector\sample_data\phase\img_005.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_005.png,mask_26,138,262,124,248,152,276,613,87.96459430051421,0.15,0.92,99.82218597063621,94.20717781402936,-1
cell_00027,img_005,F:\method_2\cell_inspector\sample_data\crops\cell_00027.png,F:\method_2\cell_inspector\sample_data\brightfield\img_005.png,F:\method_2\cell_inspector\sample_data\phase\img_005.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_005.png,mask_27,175,315,159,299,191,331,797,100.53096491487338,0.15,0.92,100.8870765370138,94.40276035131744,-1
cell_00028,img_005,F:\method_2\cell_inspector\sample_data\crops\cell_00028.png,F:\method_2\cell_inspector\sample_data\brightfield\img_005.png,F:\method_2\cell_inspector\sample_data\phase\img_005.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_005.png,mask_28,212,368,194,350,230,386,1009,113.09733552923255,0.15,0.92,100.2794846382557,94.91377601585728,-1
cell_00029,img_005,F:\method_2\cell_inspector\sample_data\crops\cell_00029.png,F:\method_2\cell_inspector\sample_data\brightfield\img_005.png,F:\method_2\cell_inspector\sample_data\phase\img_005.png,F:\method_2\cell_inspector\sample_data\fluorescence\img_005.png,mask_29,249,421,229,401,269,441,1257,125.66370614359172,0.15,0.92,99.03341288782816,94.3969769291965,-1
